Country,Mean Value Danceability,Median Value Danceability,Max Value Danceability,Min Value Danceability
Australia,0.6949199999999998,0.698,0.8959999999999999,0.453
Brazil,0.69378,0.7085,0.888,0.39
France,0.7273599999999999,0.751,0.932,0.41
HongKong,0.6210199999999998,0.628,0.8959999999999999,0.32299999999999995
India,0.6589200000000003,0.695,0.862,0.285
Japan,0.5247799999999999,0.5389999999999999,0.769,0.228
Malaysia,0.67102,0.673,0.8959999999999999,0.285
South Africa,0.6999,0.6995,0.913,0.459
Taiwan,0.63032,0.644,0.838,0.36
UK,0.6980599999999998,0.698,0.961,0.453
US,0.72148,0.756,0.932,0.453
