Country,Mean Value Loudness,Median Value Loudness,Max Value Loudness,Min Value Loudness
Australia,-6.228680000000004,-5.8065,-2.253,-14.454
Brazil,-5.000500000000001,-5.0489999999999995,-1.933,-9.576
France,-6.77748,-6.497499999999999,-3.0010000000000003,-19.793
HongKong,-7.115320000000001,-6.699999999999999,-2.2030000000000003,-14.454
India,-5.521679999999998,-5.8065,-0.079,-12.189
Japan,-4.35804,-3.5705,-0.8240000000000001,-11.611
Malaysia,-6.999219999999999,-6.375,-2.2030000000000003,-18.717
South Africa,-6.882180000000001,-6.3629999999999995,-2.749,-14.454
Taiwan,-7.485600000000002,-7.516499999999999,-2.2030000000000003,-14.956
UK,-6.778040000000001,-6.388,-3.497,-14.454
US,-6.643439999999999,-6.4030000000000005,-2.708,-14.454
