Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instramentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
1.0,0.051427626750586396,0.22116251582896584,-0.039604269777956815,-0.26103388788199705,0.18927228704337742,-0.17736013068854561,-0.07750042909165371,-0.022360237465673248,0.44350642045099375,-0.17116049238612005,-0.21422618523720052,-0.07512439272527403
0.051427626750586396,1.0,-0.07768379871273348,0.7693033579634628,0.011560463384341347,0.03665200628714786,-0.5217100157754678,-0.2733964038672525,0.2497723480568001,0.441336888269938,0.05663283424226255,-0.11246138703632778,0.041745387185357155
0.22116251582896584,-0.07768379871273348,1.0,-0.06965931303203081,-0.21910132428262827,-0.05880746893568134,-0.04594942911778902,-0.02194033046953567,-0.02569643911155646,0.07864406853022639,-0.04960090998418226,-0.1293027068586087,-0.020042550690838372
-0.039604269777956815,0.7693033579634628,-0.06965931303203081,1.0,0.09367457022347972,-0.09954222908808691,-0.37195219374521443,-0.4171753231703546,0.16562048491386908,0.36500892229508436,-0.024203472230912543,-0.19999351915344946,0.049450413855925475
-0.26103388788199705,0.011560463384341347,-0.21910132428262827,0.09367457022347972,1.0,-0.19121677835619308,0.08248301112592563,-0.09751205670423163,-0.06927440449057787,-0.046655705886052556,-0.02996171169179005,0.10323066344094997,0.025749599128878458
0.18927228704337742,0.03665200628714786,-0.05880746893568134,-0.09954222908808691,-0.19121677835619308,1.0,-0.10442951099839047,0.014179782149972005,-0.057660614533927505,0.09185075265661456,0.13861428601754902,-0.10405234999615559,0.06720779575788652
-0.17736013068854561,-0.5217100157754678,-0.04594942911778902,-0.37195219374521443,0.08248301112592563,-0.10442951099839047,1.0,0.2471042613432906,-0.08122235629028511,-0.16471677729833598,-0.0618603982842947,0.10200286599529802,-0.023862080463703392
-0.07750042909165371,-0.2733964038672525,-0.02194033046953567,-0.4171753231703546,-0.09751205670423163,0.014179782149972005,0.2471042613432906,1.0,0.003675229589285724,-0.1998936274491318,-0.04610249396901463,0.009774982805799923,-0.023827020197025584
-0.022360237465673248,0.2497723480568001,-0.02569643911155646,0.16562048491386908,-0.06927440449057787,-0.057660614533927505,-0.08122235629028511,0.003675229589285724,1.0,0.1234592124125699,-0.02212210801253627,-0.1509345389727331,-0.0411551934793282
0.44350642045099375,0.441336888269938,0.07864406853022639,0.36500892229508436,-0.046655705886052556,0.09185075265661456,-0.16471677729833598,-0.1998936274491318,0.1234592124125699,1.0,-0.08261547178105985,-0.21939014731001766,-0.06293926772771347
-0.17116049238612005,0.05663283424226255,-0.04960090998418226,-0.024203472230912543,-0.02996171169179005,0.13861428601754902,-0.0618603982842947,-0.04610249396901463,-0.02212210801253627,-0.08261547178105985,1.0,0.1752984303669148,-0.06070753490819113
-0.21422618523720052,-0.11246138703632778,-0.1293027068586087,-0.19999351915344946,0.10323066344094997,-0.10405234999615559,0.10200286599529802,0.009774982805799923,-0.1509345389727331,-0.21939014731001766,0.1752984303669148,1.0,-0.009571655016484638
-0.07512439272527403,0.041745387185357155,-0.020042550690838372,0.049450413855925475,0.025749599128878458,0.06720779575788652,-0.023862080463703392,-0.023827020197025584,-0.0411551934793282,-0.06293926772771347,-0.06070753490819113,-0.009571655016484638,1.0
